,MP_ID,formula,PREC,ALGO,ISPIN,IMIX,NELM,IBRION,EDIFF,NSW,ISIF,ENCUT,MAGMOM,ISMEAR,SIGMA,LDAU,LDAUU,total_E_ref,E_atom,total_E,cell_param,angle,Magm_ref,Mag_O_ref,Magm,Mag_O,tot_mag_ref,tot_mag,DHf_ref,DHf,Err_DHf,Ehull_ref,Eg_ref,Eg,Volume_ref,Volume,Err_V_percent,Theoretical,VBM,E_fermi,CBM,bgtype,bgpath
1,mp-12631,SrTcO3,Accurate,Fast,2,4,100,2,2e-06,200,3,520,"[0.6, 0.6, 0.6, 0.6, 5.0]",-5,0.05,,,-37.1001156,-7.420023120000001,-37.322174,"(3.982193, 3.982193, 3.982193)","(90.0, 90.0, 90.0)","[0.0, 0.047, 0.004, 0.001, 0.007]",NM,"[-0.0, 0.0, -0.0, 0.0, -0.0]",NM,0.0737331,0.0,-2.4626036060833334,-2.5301085089999993,0.06750490291666589,0,0.0,NaN,63.14906342457975,62.1201269317667,1.6293772813304395,False,NaN,NaN,NaN,NaN,NaN
2,mp-19035,BaFeO3,Accurate,Fast,2,4,100,2,0.0001,200,3,520,"[0.6, 0.6, 0.6, 5.0, 0.6]",-5,0.05,True,"[0.0, 5.3, 0.0]",-31.63242596,-6.326485192,-31.430283,"(4.033045, 4.033045, 4.033045)","(90.0, 90.0, 90.0)","[-0.004, -4.073, -0.103, -0.029, -0.006]",FM,"[0.003, 4.046, 0.124, 0.06, 0.039]",FM,4.2890556,4.3596,-2.2480323367499992,-2.2629687819999993,0.014936445250000041,0,0.0,NaN,65.59929974851559,65.59929974851559,0.0,False,NaN,NaN,NaN,NaN,NaN
3,mp-19322,BaMoO3,Accurate,Fast,2,4,100,2,0.0001,200,3,520,"[0.6, 0.6, 0.6, 5.0, 0.6]",-5,0.05,True,"[0.0, 4.38, 0.0]",-34.93217258,-6.986434516,-35.036352,"(4.14913304, 4.14913304, 4.14913304)","(90.0, 90.0, 90.0)",,Unknown,"[-0.002, 1.991, -0.01, -0.025, -0.021]",FM,2.0000002,2.0,-2.59231404075,-2.610794782000001,0.01848074125000121,0,0,NaN,71.4285907012129,70.76397698842007,0.9304589468563362,False,NaN,NaN,NaN,NaN,NaN
4,mp-3614,KTaO3,Accurate,Fast,2,4,100,2,2e-06,200,3,520,"[0.6, 0.6, 0.6, 0.6, 5.0]",-5,0.05,,,-41.13911957,-8.227823914,-41.068797,"(4.030839, 4.030839, 4.030839)","(90.0, 90.0, 90.0)","[0.0, -0.0, 0.0, -0.0, 0.0]",NM,"[-0.0, 0.0, -0.0, -0.0, -0.0]",NM,8.85e-05,0.0,-3.0867893873499996,-3.1067656696,0.019976282250000477,0,2.1106999999999996,2.108,65.49171385629549,65.37615669388408,0.1764454701322462,False,1.5991,1.84427079,3.7071,Indirect,R-gamma
5,mp-3834,BaZrO3,Accurate,Fast,2,4,100,2,1e-07,99,3,700,"[0.0, 0.0, 0.0, 0.0, 0.0]",-5,0.05,,,-41.44471339,-8.288942678,-41.725654,"(4.255689, 4.255689, 4.255689)","(90.0, 90.0, 90.0)","[0.0, -0.0, -0.0, -0.0, -0.0]",NM,"[0.0, 0.0, -0.0, -0.0, -0.0]",NM,0.0016326,-0.0,-3.6482091047499994,-3.7227805190000005,0.07457141425000113,0,3.0368000000000004,3.1191999999999998,77.07431052181566,76.01381897430926,1.3759338751479753,False,3.5638,3.90524812,6.683,Indirect,R-gamma
6,mp-510624,SrFeO3,Accurate,Fast,2,4,100,2,0.001,99,3,520,"[0.6, 0.6, 0.6, 0.6, -5.0, -5.0, 5.0, 5.0, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",-5,0.05,True,"[0, 5.3, 0]",-31.80402453,-6.360804906,-31.566454,"(3.913187, 3.913187, 3.913187)","(90.0, 90.0, 90.0)","[-0.005, -3.97, -0.1, -0.028, -0.019]",FM,"[0.006, 3.926, 0.093, 0.016, 0.009]",FM,4.1735271,4.1263,-2.3282499660833325,-2.3444722829999995,0.01622231691666709,0,0.0,NaN,59.922759697716636,59.49505700717092,0.7137566639174874,False,NaN,NaN,NaN,NaN,NaN
7,mp-973267,KTcO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 0.6, 0.6, 0.6, 0.6]",-5,0.2,,,-34.18732873,-6.8374657459999995,-34.457037,"(3.933614, 3.933614, 3.933614)","(90.0, 90.0, 90.0)","[0.0, 0.0, -0.0, -0.0, -0.0]",NM,"[0.0, 0.0, -0.0, -0.0, 0.0]",NM,0.0004715,-0.0,-1.9958626933499992,-2.0765819295999997,0.08071923625000044,0,0.0,NaN,60.866064642145275,59.668291073189785,1.9678840352134748,True,NaN,NaN,NaN,NaN,NaN
8,mp-977176,NaTcO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 0.6, 0.6, 0.6, 0.6]",-5,0.2,,,-34.34552387,-6.869104774,-34.732044,"(3.876064, 3.876064, 3.876064)","(90.0, 90.0, 90.0)","[-0.0, -0.003, 0.0, 0.0, 0.001]",NM,"[0.0, -0.0, 0.0, -0.0, 0.0]",NM,0.0009838,-0.0,-1.98713690975,-2.0784385166,0.09130160684999988,0,0.0,NaN,58.23348991182055,56.97309695609223,2.164378191375543,True,NaN,NaN,NaN,NaN,NaN
9,mp-998552,BaHfO3,Accurate,Fast,2,4,100,2,1e-07,99,3,700,"[0.0, 0.0, 0.0, 0.0, 0.0]",-5,0.05,,,-43.59189315,-8.71837863,-43.558491,"(4.204484, 4.204484, 4.204484)","(90.0, 90.0, 90.0)","[-0.0, 0.0, -0.0, -0.0, 0.0]",NM,"[-0.0, -0.0, -0.0, 0.0, 0.0]",NM,1.01e-05,0.0,-3.79574822875,-3.8083502879999998,0.012602059249999797,0,3.5424,3.5423000000000004,74.32554670898205,74.15074536835624,0.23518339032234936,True,2.3402,2.67012268,5.8825,Indirect,R-gamma
10,mp-5229,SrTiO3,Accurate,Fast,2,4,100,2,2e-06,200,3,520,"[0.6, 0.6, 0.6, 5.0, 0.6]",-5,0.05,,,-40.12465451,-8.024930902,-39.993901,"(3.94513, 3.94513, 3.94513)","(90.0, 90.0, 90.0)","[-0.0, 0.0, -0.0, -0.0, -0.0]",NM,"[-0.0, -0.0, 0.0, 0.0, 0.0]",NM,0.0001264,-0.0,-3.5606248020833333,-3.5731536676000006,0.01252886551666732,0.000882217999999213,1.7819000000000003,1.7709000000000001,61.40220340476369,61.40220340476369,0.0,False,3.2294,3.60031666,5.0003,Indirect,R-gamma
