element,E
Sc,-6.248016745
Ti,-7.807775377
V,-8.957481295
Cr,-9.51291891
Mn,-9.005186627
Fe,-8.2567353
Co,-7.01677846
Ni,-5.487977108
Cu,-3.748850118
Zn,-1.109215225
Y,-6.427804475
Zr,-8.520047615
Nb,-10.09722559
Mo,-10.9216743
Tc,-10.35127417
Ru,-9.228999695
Rh,-7.257805095
Pd,-5.218507498
Ag,-2.718947998
Cd,-0.74847083
Hf,-9.92503577
Ta,-11.81211547
W,-12.95562311
Re,-12.38957626
Os,-11.22443962
Ir,-8.850071725
Pt,-6.097649898
Au,-3.221106315
Hg,-0.18863488
Li,-1.90398515
Na,-1.304996332
K,-1.039272267
Rb,-0.92613147
Cs,-0.842230327
Be,-3.75016264
Mg,-1.501648721
Ca,-1.927013173
Sr,-1.63677637
Ba,-1.908122875
Al,-3.748719748
Ga,-2.90766268
In,-2.562569464
Tl,-2.221105455
Si,-5.425342681
Ge,-4.5189168
Sn,-3.847515056
Pb,-3.564855813
Bi,-3.883314387
Sb,-4.129
As,-4.659
Te,-3.143
