index,index_ori,formula
1,1,SrTcO3
2,2,BaFeO3
3,4,KTaO3
4,5,BaZrO3
5,6,SrFeO3
6,7,KTcO3
7,8,NaTcO3
8,9,BaHfO3
9,10,SrTiO3
10,11,SrCuO3
11,12,KNbO3
12,13,NaTaO3
13,14,BaScO3
14,15,BaPdO3
15,17,SrHfO3
16,18,NaOsO3
17,19,TlTcO3
18,20,KReO3
19,21,SrRuO3
20,22,KHfO3
21,23,SrVO3
22,24,KOsO3
23,25,TaAgO3
24,27,RbIrO3
25,28,NaReO3
26,29,SrMnO3
27,30,CaFeO3
28,31,SrZrO3
29,33,RbTaO3
30,34,SrCoO3
31,36,KZrO3
32,37,CaTiO3
33,38,NaRuO3
34,39,LiTcO3
35,40,SrPdO3
36,42,KRhO3
37,43,BaCuO3
38,44,RbNbO3
39,45,BaOsO3
40,46,BaRuO3
41,47,KRuO3
42,49,NaTiO3
43,50,SrScO3
44,51,RbOsO3
45,52,SrRhO3
46,55,BaRhO3
47,56,BaPtO3
48,57,CaVO3
49,58,KMoO3
50,59,SrCrO3
51,61,RbRhO3
52,62,BaVO3
53,63,CaCoO3
54,64,CaMnO3
55,65,KPtO3
56,66,BaNiO3
57,67,BaMnO3
58,70,SrIrO3
59,71,NaVO3
60,72,NaFeO3
61,73,BaIrO3
62,74,RbReO3
63,75,CaRuO3
64,76,RbPdO3
65,77,CaHfO3
66,78,TlWO3
67,79,RbWO3
68,80,RbPtO3
69,81,KPdO3
70,82,SrPtO3
71,83,SrZnO3
72,84,BaWO3
73,85,CaCuO3
74,86,BaZnO3
75,87,RbRuO3
76,88,RbMoO3
77,89,CaZrO3
78,90,KScO3
79,91,BaCdO3
80,92,TiCdO3
81,93,SrWO3
82,94,BaAuO3
83,95,YNiO3
84,97,LiRuO3
85,98,KVO3
86,99,BaCoO3
87,100,YCuO3
88,101,YCoO3
89,102,CaZnO3
90,104,TiHgO3
91,108,RbYO3
92,110,CsTaO3
93,111,CaRhO3
94,112,RbFeO3
95,114,KYO3
96,115,SrAuO3
97,116,SrHgO3
98,117,KMnO3
99,124,HgRuO3
100,125,YMnO3
101,127,YCrO3
102,128,LiFeO3
103,129,CaIrO3
104,133,NaNiO3
105,135,KAgO3
106,136,PbAuO3
107,138,AlAgO3
108,145,ZrHgO3
109,146,RbAgO3
110,149,KAuO3
