,magm_bare,magm_OOH,magm_O,magm_OH
1,"[0.578, 1.379, 0.611, 0.582, 1.379, 0.61, 0.582, 1.379, 0.609, 0.578, 1.379, 0.611]","[-1.047, 1.082, -1.008, 1.779, 1.513, 1.699, 1.778, 1.52, 1.7, -0.983, 1.328, -1.068]","[-1.213, -1.565, -0.333, 1.773, 1.833, 1.895, 1.773, 1.833, 1.895, -1.289, -0.041, -1.197]","[-1.037, 1.16, -1.21, 1.788, 1.465, 1.724, 1.76, 1.621, 1.777, -0.995, 1.305, -1.077]"
2,"[4.146, 4.025, 4.146, 4.146, 4.025, 4.146, 4.146, 4.025, 4.146, 4.146, 4.025, 4.146]","[4.149, 4.027, 4.204, 4.147, 4.029, 4.141, 4.147, 4.021, 4.113, 4.146, 4.023, 4.109]","[4.141, 4.086, 3.954, 4.146, 4.028, 4.039, 4.146, 4.028, 4.038, 4.149, 4.021, 4.096]","[4.144, 4.062, 4.132, 4.144, 3.983, 3.864, 4.144, 3.982, 3.855, 4.148, 4.045, 4.141]"
3,"[1.912, 1.955, 1.89, 1.912, 1.955, 1.89, 1.912, 1.955, 1.89, 1.912, 1.955, 1.89]","[1.915, 1.894, 1.049, 1.921, 1.957, 1.878, 1.912, 1.961, 1.871, 1.918, 1.944, 1.912]","[1.944, 1.031, 0.925, 1.936, 1.841, 1.93, 1.936, 1.841, 1.931, 1.931, 1.824, 1.883]","[1.92, 1.983, 1.002, 1.911, 1.942, 1.875, 1.911, 1.957, 1.872, 1.908, 1.956, 1.85]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.23, 0.089, 0.017, 0.161, 0.07, 0.013, 0.127, 0.058, 0.012, 0.062, 0.029, 0.005]","[0.287, 0.03, 0.0, 0.28, 0.079, 0.011, 0.28, 0.079, 0.011, 0.261, 0.101, 0.017]","[0.248, 0.096, 0.015, 0.152, 0.067, 0.012, 0.138, 0.062, 0.011, 0.048, 0.022, 0.003]"
5,"[-0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0]","[0.0, 0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0]","[0.0, 0.002, 0.046, 0.0, 0.001, 0.004, 0.0, 0.001, 0.004, -0.0, 0.0, 0.001]","[0.0, -0.0, -0.003, 0.0, -0.0, -0.004, 0.0, -0.0, -0.004, 0.0, -0.0, -0.005]"
6,"[4.051, 3.889, 4.052, 4.051, 3.889, 4.052, 4.051, 3.889, 4.052, 4.051, 3.889, 4.052]","[4.045, 3.899, 4.145, 4.044, 3.885, 3.974, 4.047, 3.876, 3.951, 4.048, 3.897, 4.054]","[4.034, 3.94, -3.722, 4.044, 3.886, 4.062, 4.044, 3.886, 4.062, 4.052, 3.878, 3.894]","[4.045, 3.914, 4.063, 4.049, 3.876, 3.94, 4.048, 3.876, 3.937, 4.05, 3.893, 4.048]"
7,"[0.031, -0.026, 0.02, -0.026, 0.024, -0.018, -0.027, 0.025, -0.018, 0.022, -0.023, 0.016]","[-0.4, 0.201, -0.292, 0.411, -0.488, 0.229, 0.409, -0.505, 0.226, -0.548, 0.266, -0.234]","[-0.299, 0.528, 0.027, 0.486, -0.126, 0.019, 0.486, -0.126, 0.019, -0.522, 0.494, -0.373]","[-0.227, 0.245, -0.375, 0.255, -0.172, 0.116, 0.419, -0.46, 0.24, -0.521, 0.244, -0.191]"
8,"[0.003, -0.0, 0.001, 0.002, 0.0, -0.0, 0.001, -0.0, 0.0, 0.001, 0.0, -0.0]","[-0.323, 0.36, -0.282, 0.352, -0.384, 0.193, 0.35, -0.382, 0.19, -0.44, 0.341, -0.219]","[-0.04, 0.537, 0.006, 0.316, 0.029, -0.102, 0.316, 0.029, -0.102, -0.377, 0.433, -0.302]","[-0.216, 0.541, -0.331, 0.22, -0.02, 0.019, 0.417, -0.413, 0.253, -0.43, 0.471, -0.239]"
9,"[-0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0]","[0.0, -0.0, -0.01, 0.0, -0.0, -0.003, 0.0, -0.0, -0.003, 0.0, -0.0, -0.003]","[-0.0, -0.001, -0.047, 0.0, -0.001, -0.004, 0.0, -0.001, -0.004, 0.0, -0.0, -0.001]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
10,"[-0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0]","[0.0, 0.0, 0.022, 0.0, 0.001, 0.01, 0.0, 0.0, 0.008, 0.0, 0.0, 0.009]","[-0.0, -0.003, -0.036, 0.0, -0.002, -0.03, 0.0, -0.001, -0.028, 0.0, -0.001, -0.029]","[-0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0]"
