,formula,convg_bare,tot_E_bare,DE_bare,DG_bare,bare_mag,nsteps_bare,time_bare,convg_OOH,tot_E_OOH,DE_OOH,DG_OOH,OOH_mag,OOH_dmag,nsteps_OOH,time_OOH,convg_O,tot_E_O,DE_O,DG_O,O_mag,O_dmag,nsteps_O,time_O,convg_OH,tot_E_OH,DE_OH,DG_OH,OH_mag,OH_dmag,nsteps_OH,time_OH
1,SrTcO3,True,-386.8301,0,0,13.642,1,0.231,True,-402.9764,2.136,2.481,10.741,-2.902,112,8.484,True,-395.0053,-0.727,-0.707,6.83,-6.812,33,3.963,True,-398.7415,-1.077,-0.782,10.772,-2.871,104,6.984
2,BaFeO3,True,-316.788,0,0,59.992,1,0.214,True,-330.4986,4.572,4.917,60.985,0.993,84,6.655,True,-319.8045,4.432,4.452,56.636,-3.356,22,7.076,True,-325.8934,1.729,2.024,58.79,-1.202,135,23.709
3,BaMoO3,True,-359.32,0,0,24.0,1,0.213,True,-374.9285,2.674,3.019,23.0,-1.0,59,21.487,True,-367.6412,-0.873,-0.853,22.0,-2.0,42,4.014,True,-370.7506,-0.597,-0.302,23.0,-1.0,74,11.724
4,KTaO3,True,-438.3756,0,0,0.0,1,0.182,True,-454.428,2.23,2.575,0.989,0.989,122,8.188,True,-446.4581,-0.634,-0.614,1.665,1.665,57,5.913,True,-450.5059,-1.296,-1.001,0.991,0.991,67,5.088
5,BaZrO3,True,-438.8283,0,0,0.0,1,0.216,True,-452.7501,4.361,4.706,-0.002,-0.002,57,9.562,True,-442.1533,4.123,4.143,-1.331,-1.331,21,5.219,True,-448.6677,0.995,1.29,0.216,0.216,112,14.91
6,SrFeO3,True,-319.4644,0,0,53.798,1,0.212,True,-333.1514,4.595,4.94,54.683,0.884,96,11.628,True,-322.3265,4.586,4.606,47.49,-6.308,20,6.255,True,-328.5673,1.731,2.026,53.888,0.09,60,9.614
7,KTcO3,True,-365.1872,0,0,0.0,1,0.202,True,-380.584,2.886,3.231,-1.053,-1.053,145,15.333,True,-372.2093,0.426,0.446,0.934,0.934,32,5.654,True,-376.2767,-0.255,0.04,-0.566,-0.566,102,11.206
8,NaTcO3,True,-367.8165,0,0,0.01,15,2.156,True,-383.2948,2.804,3.149,-0.345,-0.355,115,11.938,True,-374.9835,0.281,0.301,1.126,1.116,34,4.36,True,-379.0127,-0.362,-0.067,0.48,0.47,92,8.044
9,BaHfO3,True,-459.5911,0,0,-0.0,1,0.202,True,-473.6817,4.192,4.537,0.629,0.629,53,4.211,True,-463.0364,4.003,4.023,1.393,1.393,20,2.395,True,-469.5287,0.896,1.191,0.002,0.002,100,6.591
10,SrTiO3,True,-418.989,0,0,0.0,1,0.174,True,-432.9848,4.287,4.632,-0.736,-0.736,70,5.406,True,-422.5687,3.869,3.889,1.079,1.079,40,5.503,True,-428.842,0.981,1.276,0.001,0.001,58,4.226
11,SrCuO3,True,-263.5146,0,0,13.957,1,0.223,True,-277.1347,4.662,5.007,14.04,0.082,74,13.15,True,-266.7534,4.21,4.23,14.539,0.581,27,4.104,True,-272.6367,1.712,2.007,13.012,-0.946,91,10.558
12,KNbO3,True,-407.8959,0,0,-0.19,1,0.189,True,-423.2254,2.953,3.298,1.036,1.226,175,12.238,True,-414.8989,0.445,0.465,1.765,1.954,148,20.854,True,-419.2418,-0.512,-0.217,1.066,1.256,110,9.889
13,NaTaO3,True,-439.8462,0,0,0.001,26,2.156,True,-456.0506,2.078,2.423,0.997,0.995,109,6.203,True,-448.2135,-0.919,-0.899,-0.001,-0.002,76,6.89,True,-452.1042,-1.424,-1.129,0.997,0.995,48,3.434
14,BaScO3,True,-384.8924,0,0,12.0,1,0.233,True,-398.5428,4.632,4.977,13.0,1.0,154,12.059,True,-387.6614,4.68,4.7,14.0,2.0,11,1.514,True,-393.8749,1.852,2.147,13.0,1.0,82,14.657
15,BaPdO3,True,-281.0114,0,0,16.38,1,0.219,True,-294.9734,4.32,4.665,16.342,-0.037,124,9.694,True,-285.0247,3.435,3.455,17.483,1.103,34,4.146,True,-290.4402,1.405,1.7,16.407,0.027,53,5.468
16,BaTaO3,True,-449.9201,0,0,2.961,1,0.202,True,-472.7809,-4.578,-4.233,0.992,-1.969,191,29.302,True,-459.9601,-2.592,-2.572,2.088,-0.873,41,8.171,True,-462.9347,-2.181,-1.886,2.758,-0.203,57,22.135
17,SrHfO3,True,-458.4047,0,0,-0.0,1,0.212,True,-472.5722,4.115,4.46,-0.629,-0.629,54,4.391,True,-461.9215,3.932,3.952,1.478,1.478,20,3.274,True,-468.4529,0.786,1.081,-0.063,-0.063,125,6.872
18,NaOsO3,True,-351.5639,0,0,7.513,34,8.976,True,-367.0886,2.758,3.103,4.478,-3.036,72,16.961,True,-358.4554,0.557,0.577,5.937,-1.577,30,46.635,True,-363.0472,-0.649,-0.354,2.003,-5.51,44,40.722
19,TlTcO3,True,-353.5858,0,0,1.901,1,0.264,True,-369.1129,2.755,3.1,-1.063,-2.964,76,18.649,True,-360.7409,0.293,0.313,0.757,-1.143,44,9.307,True,-364.7457,-0.326,-0.031,-2.579,-4.48,56,9.794
