,formula,convg_bare,tot_E_bare,DE_bare,DG_bare,bare_mag,nsteps_bare,struc_bare,time_bare,convg_OOH,tot_E_OOH,DE_OOH,DG_OOH,OOH_mag,OOH_dmag,nsteps_OOH,struc_OOH,time_OOH,convg_O,tot_E_O,DE_O,DG_O,O_mag,O_dmag,nsteps_O,struc_O,time_O,convg_OH,tot_E_OH,DE_OH,DG_OH,OH_mag,OH_dmag,nsteps_OH,struc_OH,time_OH
1,SrTcO3,True,-386.8301,0,0,13.642,1,"Atoms(symbols='O32Sr8Tc12', pbc=True, cell=[7.920892286456297, 7.920892286456297, 24.90111535807037], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 34, 36, 38, 40, 41, 43, 44, 46, 47, 49, 50]))",NaN,True,-402.9764,2.136,2.481,10.741,-2.902,112,"Atoms(symbols='HO34Sr8Tc12', pbc=True, cell=[7.920892286456297, 7.920892286456297, 24.90111535807037], constraint=FixAtoms(indices=[1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 35, 37, 39, 41, 43, 44, 46, 47, 49, 50, 52, 53]))",NaN,True,-395.0053,-0.727,-0.707,6.83,-6.812,33,"Atoms(symbols='O33Sr8Tc12', pbc=True, cell=[7.920892286456297, 7.920892286456297, 24.90111535807037], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 33, 35, 37, 39, 41, 42, 44, 45, 47, 48, 50, 51]))",NaN,True,-398.7415,-1.077,-0.782,10.772,-2.871,104,"Atoms(symbols='HO33Sr8Tc12', pbc=True, cell=[7.920892286456297, 7.920892286456297, 24.90111535807037], constraint=FixAtoms(indices=[1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 34, 36, 38, 40, 42, 43, 45, 46, 48, 49, 51, 52]))",NaN
2,BaFeO3,True,-316.788,0,0,59.992,1,"Atoms(symbols='Ba8Fe12O32', pbc=True, cell=[8.06609, 8.06609, 25.082612500000003], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 11, 12, 14, 15, 17, 18, 20, 21, 22, 24, 25, 28, 29, 30, 32, 33, 36, 37, 38, 40, 41, 44, 45, 46, 48, 49]))",NaN,True,-330.4986,4.572,4.917,60.985,0.993,84,"Atoms(symbols='Ba8Fe12HO34', pbc=True, cell=[8.06609, 8.06609, 25.082612500000003], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 11, 12, 14, 15, 17, 18, 21, 22, 23, 25, 26, 29, 30, 31, 33, 34, 37, 38, 39, 41, 42, 45, 46, 47, 49, 50]))",NaN,True,-319.8045,4.432,4.452,56.636,-3.356,22,"Atoms(symbols='Ba8Fe12O33', pbc=True, cell=[8.06609, 8.06609, 25.082612500000003], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 11, 12, 14, 15, 17, 18, 20, 21, 22, 24, 25, 28, 29, 30, 32, 33, 36, 37, 38, 40, 41, 44, 45, 46, 48, 49]))",NaN,True,-325.8934,1.729,2.024,58.79,-1.202,135,"Atoms(symbols='Ba8Fe12HO33', pbc=True, cell=[8.06609, 8.06609, 25.082612500000003], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 11, 12, 14, 15, 17, 18, 21, 22, 23, 25, 26, 29, 30, 31, 33, 34, 37, 38, 39, 41, 42, 45, 46, 47, 49, 50]))",NaN
3,BaMoO3,True,-359.32,0,0,24.0,1,"Atoms(symbols='Ba8Mo12O32', pbc=True, cell=[8.27244852701058, 8.27244852701058, 25.340560658763224], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 11, 12, 14, 15, 17, 18, 20, 21, 22, 23, 24, 28, 29, 30, 31, 32, 36, 37, 38, 39, 40, 44, 45, 46, 47, 48]))",NaN,True,-374.9285,2.674,3.019,23.0,-1.0,59,"Atoms(symbols='Ba8HMo12O34', pbc=True, cell=[8.27244852701058, 8.27244852701058, 25.340560658763224], constraint=FixAtoms(indices=[0, 2, 4, 6, 9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 23, 24, 25, 29, 30, 31, 32, 33, 37, 38, 39, 40, 41, 45, 46, 47, 48, 49]))",NaN,True,-367.6412,-0.873,-0.853,22.0,-2.0,42,"Atoms(symbols='Ba8Mo12O33', pbc=True, cell=[8.27244852701058, 8.27244852701058, 25.340560658763224], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 11, 12, 14, 15, 17, 18, 20, 21, 22, 23, 24, 28, 29, 30, 31, 32, 36, 37, 38, 39, 40, 44, 45, 46, 47, 48]))",NaN,True,-370.7506,-0.597,-0.302,23.0,-1.0,74,"Atoms(symbols='Ba8HMo12O33', pbc=True, cell=[8.27244852701058, 8.27244852701058, 25.340560658763224], constraint=FixAtoms(indices=[0, 2, 4, 6, 9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 23, 24, 25, 29, 30, 31, 32, 33, 37, 38, 39, 40, 41, 45, 46, 47, 48, 49]))",NaN
4,KTaO3,True,-438.3756,0,0,0.0,1,"Atoms(symbols='K8O32Ta12', pbc=True, cell=[8.05693371965205, 8.05693371965205, 25.071167149565063], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 40, 41, 43, 44, 46, 47, 49, 50]))",NaN,True,-454.428,2.23,2.575,0.989,0.989,122,"Atoms(symbols='HK8O34Ta12', pbc=True, cell=[8.05693371965205, 8.05693371965205, 25.071167149565063], constraint=FixAtoms(indices=[1, 3, 5, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 43, 44, 46, 47, 49, 50, 52, 53]))",NaN,True,-446.4581,-0.634,-0.614,1.665,1.665,57,"Atoms(symbols='K8O33Ta12', pbc=True, cell=[8.05693371965205, 8.05693371965205, 25.071167149565063], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 41, 42, 44, 45, 47, 48, 50, 51]))",NaN,True,-450.5059,-1.296,-1.001,0.991,0.991,67,"Atoms(symbols='HK8O33Ta12', pbc=True, cell=[8.05693371965205, 8.05693371965205, 25.071167149565063], constraint=FixAtoms(indices=[1, 3, 5, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 42, 43, 45, 46, 48, 49, 51, 52]))",NaN
5,BaZrO3,True,-438.8283,0,0,0.0,1,"Atoms(symbols='Ba8O32Zr12', pbc=True, cell=[8.472160597266948, 8.472160597266948, 25.590200746583683], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 40, 41, 43, 44, 46, 47, 49, 50]))",NaN,True,-452.7501,4.361,4.706,-0.002,-0.002,57,"Atoms(symbols='Ba8HO34Zr12', pbc=True, cell=[8.472160597266948, 8.472160597266948, 25.590200746583683], constraint=FixAtoms(indices=[0, 2, 4, 6, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 43, 44, 46, 47, 49, 50, 52, 53]))",NaN,True,-442.1533,4.123,4.143,-1.331,-1.331,21,"Atoms(symbols='Ba8O33Zr12', pbc=True, cell=[8.472160597266948, 8.472160597266948, 25.590200746583683], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 41, 42, 44, 45, 47, 48, 50, 51]))",NaN,True,-448.6677,0.995,1.29,0.216,0.216,112,"Atoms(symbols='Ba8HO33Zr12', pbc=True, cell=[8.472160597266948, 8.472160597266948, 25.590200746583683], constraint=FixAtoms(indices=[0, 2, 4, 6, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 42, 43, 45, 46, 48, 49, 51, 52]))",NaN
6,SrFeO3,True,-319.4644,0,0,53.798,1,"Atoms(symbols='Fe12O32Sr8', pbc=True, cell=[7.807709101792491, 7.807709101792491, 24.759636377240614], constraint=FixAtoms(indices=[0, 1, 3, 4, 6, 7, 9, 10, 12, 13, 14, 16, 17, 20, 21, 22, 24, 25, 28, 29, 30, 32, 33, 36, 37, 38, 40, 41, 44, 46, 48, 50]))",NaN,True,-333.1514,4.595,4.94,54.683,0.884,96,"Atoms(symbols='Fe12HO34Sr8', pbc=True, cell=[7.807709101792491, 7.807709101792491, 24.759636377240614], constraint=FixAtoms(indices=[0, 1, 3, 4, 6, 7, 9, 10, 13, 14, 15, 17, 18, 21, 22, 23, 25, 26, 29, 30, 31, 33, 34, 37, 38, 39, 41, 42, 47, 49, 51, 53]))",NaN,True,-322.3265,4.586,4.606,47.49,-6.308,20,"Atoms(symbols='Fe12O33Sr8', pbc=True, cell=[7.807709101792491, 7.807709101792491, 24.759636377240614], constraint=FixAtoms(indices=[0, 1, 3, 4, 6, 7, 9, 10, 12, 13, 14, 16, 17, 20, 21, 22, 24, 25, 28, 29, 30, 32, 33, 36, 37, 38, 40, 41, 45, 47, 49, 51]))",NaN,True,-328.5673,1.731,2.026,53.888,0.09,60,"Atoms(symbols='Fe12HO33Sr8', pbc=True, cell=[7.807709101792491, 7.807709101792491, 24.759636377240614], constraint=FixAtoms(indices=[0, 1, 3, 4, 6, 7, 9, 10, 13, 14, 15, 17, 18, 21, 22, 23, 25, 26, 29, 30, 31, 33, 34, 37, 38, 39, 41, 42, 46, 48, 50, 52]))",NaN
7,KTcO3,True,-365.1872,0,0,0.0,1,"Atoms(symbols='K8O32Tc12', pbc=True, cell=[7.815279759695828, 7.815279759695828, 24.769099699619787], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 40, 41, 43, 44, 46, 47, 49, 50]))",NaN,True,-380.584,2.886,3.231,-1.053,-1.053,145,"Atoms(symbols='HK8O34Tc12', pbc=True, cell=[7.815279759695828, 7.815279759695828, 24.769099699619787], constraint=FixAtoms(indices=[1, 3, 5, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 43, 44, 46, 47, 49, 50, 52, 53]))",NaN,True,-372.2093,0.426,0.446,0.934,0.934,32,"Atoms(symbols='K8O33Tc12', pbc=True, cell=[7.815279759695828, 7.815279759695828, 24.769099699619787], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 41, 42, 44, 45, 47, 48, 50, 51]))",NaN,True,-376.2767,-0.255,0.04,-0.566,-0.566,102,"Atoms(symbols='HK8O33Tc12', pbc=True, cell=[7.815279759695828, 7.815279759695828, 24.769099699619787], constraint=FixAtoms(indices=[1, 3, 5, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 42, 43, 45, 46, 48, 49, 51, 52]))",NaN
8,NaTcO3,True,-367.8165,0,0,0.01,15,"Atoms(symbols='Na8O32Tc12', pbc=True, cell=[7.695791126806043, 7.695791126806043, 24.619738908507554], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 40, 41, 43, 44, 46, 47, 49, 50]))",NaN,True,-383.2948,2.804,3.149,-0.345,-0.355,115,"Atoms(symbols='HNa8O34Tc12', pbc=True, cell=[7.695791126806043, 7.695791126806043, 24.619738908507554], constraint=FixAtoms(indices=[1, 3, 5, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 43, 44, 46, 47, 49, 50, 52, 53]))",NaN,True,-374.9835,0.281,0.301,1.126,1.116,34,"Atoms(symbols='Na8O33Tc12', pbc=True, cell=[7.695791126806043, 7.695791126806043, 24.619738908507554], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 41, 42, 44, 45, 47, 48, 50, 51]))",NaN,True,-379.0127,-0.362,-0.067,0.48,0.47,92,"Atoms(symbols='HNa8O33Tc12', pbc=True, cell=[7.695791126806043, 7.695791126806043, 24.619738908507554], constraint=FixAtoms(indices=[1, 3, 5, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 42, 43, 45, 46, 48, 49, 51, 52]))",NaN
9,BaHfO3,True,-459.5911,0,0,-0.0,1,"Atoms(symbols='Ba8Hf12O32', pbc=True, cell=[8.402370652344556, 8.402370652344556, 25.502963315430698], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 11, 12, 14, 15, 17, 18, 20, 21, 22, 24, 25, 28, 29, 30, 32, 33, 36, 37, 38, 40, 41, 44, 45, 46, 48, 49]))",NaN,True,-473.6817,4.192,4.537,0.629,0.629,53,"Atoms(symbols='Ba8HHf12O34', pbc=True, cell=[8.402370652344556, 8.402370652344556, 25.502963315430698], constraint=FixAtoms(indices=[0, 2, 4, 6, 9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 23, 25, 26, 29, 30, 31, 33, 34, 37, 38, 39, 41, 42, 45, 46, 47, 49, 50]))",NaN,True,-463.0364,4.003,4.023,1.393,1.393,20,"Atoms(symbols='Ba8Hf12O33', pbc=True, cell=[8.402370652344556, 8.402370652344556, 25.502963315430698], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 11, 12, 14, 15, 17, 18, 20, 21, 22, 24, 25, 28, 29, 30, 32, 33, 36, 37, 38, 40, 41, 44, 45, 46, 48, 49]))",NaN,True,-469.5287,0.896,1.191,0.002,0.002,100,"Atoms(symbols='Ba8HHf12O33', pbc=True, cell=[8.402370652344556, 8.402370652344556, 25.502963315430698], constraint=FixAtoms(indices=[0, 2, 4, 6, 9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 23, 25, 26, 29, 30, 31, 33, 34, 37, 38, 39, 41, 42, 45, 46, 47, 49, 50]))",NaN
10,SrTiO3,True,-418.989,0,0,0.0,1,"Atoms(symbols='O32Sr8Ti12', pbc=True, cell=[7.89026, 7.89026, 24.862825], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 34, 36, 38, 40, 41, 43, 44, 46, 47, 49, 50]))",NaN,True,-432.9848,4.287,4.632,-0.736,-0.736,70,"Atoms(symbols='HO34Sr8Ti12', pbc=True, cell=[7.89026, 7.89026, 24.862825], constraint=FixAtoms(indices=[1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 35, 37, 39, 41, 43, 44, 46, 47, 49, 50, 52, 53]))",NaN,True,-422.5687,3.869,3.889,1.079,1.079,40,"Atoms(symbols='O33Sr8Ti12', pbc=True, cell=[7.89026, 7.89026, 24.862825], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 33, 35, 37, 39, 41, 42, 44, 45, 47, 48, 50, 51]))",NaN,True,-428.842,0.981,1.276,0.001,0.001,58,"Atoms(symbols='HO33Sr8Ti12', pbc=True, cell=[7.89026, 7.89026, 24.862825], constraint=FixAtoms(indices=[1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 34, 36, 38, 40, 42, 43, 45, 46, 48, 49, 51, 52]))",NaN
